keyword	volume	competition	cpc_low	cpc_high
סטורי אינסטגרם	9900	LOW	0.00	0.00
whatsapp business	4400	LOW	3.69	8.58
עוקבים באינסטגרם	2400	LOW	3.12	5.47
whatsapp business web	1900	LOW	6.02	39.43
קניית עוקבים באינסטגרם	1900	LOW	2.86	5.09
עוקבים באינסטגרם בחינם	1900	LOW	3.75	5.96
אינסטגרם סטורי	1300	LOW	0.00	0.00
וואטסאפ עסקי	1000	LOW	5.03	20.14
קניית עוקבים	1000	LOW	2.75	5.09
וואטסאפ ביזנס	880	LOW	5.04	15.11
אוטומציה לעסקים	590	MEDIUM	6.23	20.69
סטורי באינסטגרם	590	LOW	0.00	0.00
whatsapp web business	480	LOW	6.01	20.56
ווצאפ ביזנס	480	MEDIUM	5.85	15.13
וואצאפ ביזנס	390	MEDIUM	5.09	15.17
קניית עוקבים בטיקטוק	390	MEDIUM	3.18	6.01
קניית לייקים באינסטגרם	390	LOW	2.95	5.10
אינסטגרם עוקבים	390	LOW	3.50	5.10
מאני צאט	320	LOW	3.63	18.70
ווצאפ עסקי	320	MEDIUM	5.08	15.12
פרסום באינסטגרם	320	LOW	7.07	22.76
צפיה בסטורי באינסטגרם ללא חשבון	320	LOW	0.00	0.00
וואטסאפ ביזנס להורדה למחשב	260	LOW	0.00	0.00
רילס	260	LOW	0.00	0.00
וואטסאפ ביזנס ווב	210	LOW	6.06	12.73
פרסום ממומן באינסטגרם	210	HIGH	7.57	27.35
whatsapp bisnis download	170	LOW	0.20	19.77
קניית עוקבים באינסטגרם בחינם	170	LOW	3.74	6.07
מאניצאט	140	LOW	0.19	18.53
קידום ממומן באינסטגרם	140	HIGH	5.56	24.06
לקנות עוקבים באינסטגרם	140	MEDIUM	2.89	5.35
עיצוב סטורי באינסטגרם	140	LOW	0.00	0.00
וואטסאפ ביזנס למחשב	110	LOW	9.10	25.19
לקנות עוקבים	110	MEDIUM	2.68	5.08
קניית עוקבים אמיתיים	110	MEDIUM	2.47	6.02
מה זה רילס	110	LOW	0.00	0.00
וואצאפ ביזנס להורדה	90	LOW	0.00	0.00
עוקבים אמיתיים באינסטגרם	90	MEDIUM	2.84	5.35
גודל סטורי באינסטגרם	90	LOW	0.00	0.00
ווצאפ ביזנס למחשב	70	LOW	3.61	10.91
העלאת עוקבים באינסטגרם	70	MEDIUM	2.82	5.05
קניית עוקבים בפייסבוק	70	MEDIUM	4.04	8.72
עוקבים בפייסבוק	70	MEDIUM	4.21	6.11
צפיות לרילס	70	LOW	4.84	14.82
רילס באינסטגרם	70	LOW	0.00	0.00
וואטסאפ עסקי מחיר	50	MEDIUM	5.09	25.16
וואטסאפ עסקי למחשב	50	MEDIUM	5.89	25.26
וואטסאפ ביזנס להורדה	50	LOW	0.00	0.00
רשימת תפוצה בוואטסאפ עסקי	50	MEDIUM	6.12	25.22
כמה עולה וואטסאפ עסקי	50	LOW	6.01	20.15
ווטסאפ עסקים	50	MEDIUM	6.03	25.15
וואצאפ ביזנס למחשב	50	LOW	24.62	25.18
ממומן באינסטגרם	50	HIGH	5.90	17.69
