keyword	volume	competition	cpc_low	cpc_high
manychat	8100	MEDIUM	0.09	7.36
צ אטבוט	720	LOW	2.59	8.03
קידום אורגני באינסטגרם	320	LOW	6.28	17.75
בוט לוואטסאפ	320	MEDIUM	5.75	20.37
צ אט בוט לוואטסאפ	170	MEDIUM	8.15	27.06
שיווק באינסטגרם	90	LOW	5.69	20.20
בוט וואטסאפ	90	HIGH	5.94	21.42
אוטומציה שיווקית	90	LOW	0.00	0.00
צ אט בוט לוואטסאפ חינם	70	LOW	2.86	6.16
בוט תמלול וואטסאפ	70	LOW	4.52	17.73
ניהול רשתות חברתיות	50	MEDIUM	7.30	20.03
קידום עסקים באינסטגרם	50	MEDIUM	10.96	18.85
ניהול רשת חברתית	50	MEDIUM	7.30	20.03
בוט לאינסטגרם	40	LOW	2.89	10.26
תזמון פוסטים באינסטגרם	40	LOW	0.00	0.00
הודעות אוטומטיות בוואטסאפ	30	MEDIUM	5.22	16.55
קידום אינסטגרם עסקי	30	MEDIUM	0.00	0.00
שיווק ממומן באינסטגרם	30	HIGH	9.64	21.50
וואטסאפ בוט	30	HIGH	8.04	27.15
אוטומציה שיווקית לעסק	30	LOW	0.00	0.00
קורס ניהול רשתות חברתיות	20	MEDIUM	3.23	26.16
קידום באינסטגרם מחיר	20	HIGH	4.80	13.57
תזמון פוסטים בפייסבוק	20	LOW	0.00	0.00
בוט לפייסבוק	20	MEDIUM	0.00	0.00
יצירת בוט לוואטסאפ	20	HIGH	5.79	19.51
תגובה אוטומטית	10	LOW	0.00	0.00
הודעות אוטומטיות	10	LOW	0.00	0.00
צ אט בוט וואטסאפ	10	LOW	0.00	0.00
בוט לאינסטגרם בחינם	10	—	0.00	0.00
צ אט בוט וואטסאפ חינם	10	—	0.00	0.00
אוטומציה לאינסטגרם	10	LOW	0.00	0.00
קורס שיווק באינסטגרם	10	HIGH	7.09	19.78
ניהול רשתות חברתיות מחיר	10	HIGH	0.00	0.00
מנהל רשתות חברתיות	10	MEDIUM	6.43	15.10
שיווק אורגני באינסטגרם	10	HIGH	7.31	20.93
שיווק עסק באינסטגרם	10	—	0.00	0.00
שיווק באינסטגרם מדריך	10	HIGH	0.00	0.00
טיפים לשיווק באינסטגרם	10	LOW	0.00	0.00
סדנת שיווק באינסטגרם	10	—	0.00	0.00
קידום אתרים באינסטגרם	10	—	0.00	0.00
קידום סטורי באינסטגרם	10	—	0.00	0.00
שיווק באינסטגרם קורס	10	—	0.00	0.00
שיווק ופרסום באינסטגרם	10	—	0.00	0.00
שיווק וקידום באינסטגרם	10	—	0.00	0.00
שיווק עסקים באינסטגרם	10	HIGH	0.00	0.00
שיווק שותפים באינסטגרם	10	—	0.00	0.00
manychat instagram	10	HIGH	1.84	10.47
יצירת בוט וואטסאפ	10	HIGH	0.00	0.00
my manychat	10	LOW	0.00	0.00
many chat instagram	10	—	0.00	0.00
api manychat	10	LOW	0.00	0.00
bot manychat	10	—	0.00	0.00
dashboard manychat	10	—	0.00	0.00
support manychat	10	—	0.00	0.00
בוטים לפייסבוק	10	LOW	0.00	0.00
יצירת בוט בטלגרם	10	MEDIUM	0.00	0.00
תזמון פוסטים	0	—	0.00	0.00
כלי לאינסטגרם	0	—	0.00	0.00
לידים מאינסטגרם	0	—	0.00	0.00
manychat 2022	0	—	0.00	0.00
מסרים אוטומטיים	0	—	0.00	0.00
